Relation,Precision,Recall,F1 Score
also see,0.0,0.0,0.0
derivationally related form,0.9966977216725756,0.8761785969414173,0.9325604714742213
has part,0.9815904794220677,0.8477075539922833,0.9097496953843998
hypernym,0.798793379705546,0.6992615155160983,0.7457209626413375
instance hypernym,0.7641230908918061,0.9847260408005616,0.8605109409866882
member meronym,0.9008963653420039,0.848819288207398,0.8740828374336095
member of domain region,0.920640293156714,0.9279305241145375,0.9242710333498856
member of domain usage,0.6729137779366449,0.7012099634455896,0.6867705308029237
similar to,0.7973085738692562,1.0,0.8872250268664837
synset domain topic of,0.7933354310345057,0.5001764391635641,0.6135354457881689
verb group,0.8931347562508984,0.9908828305438371,0.9394730723682894
