head,relation,tail,prompt,prediction,is_negative,score
head,relation,tail,prompt,prediction,0,0
/m/08966,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,/m/05lf_,"Is the following triple valid? Head: Zürich, Relation: travel travel destination climate. travel travel destination monthly climate month, Tail: October. Answer with 'Yes' or 'No'.",Yes,0,1
/m/01hww_,/music/performance_role/regular_performances./music/group_membership/group,/m/01q99h,"Is the following triple valid? Head: Autoharp, Relation: music performance role regular performances. music group membership group, Tail: Heart. Answer with 'Yes' or 'No'.",No,0,0
/m/09v3jyg,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/0f8l9c,"Is the following triple valid? Head: Winnie the Pooh, Relation: film film release date s. film film regional release date film release region, Tail: France. Answer with 'Yes' or 'No'.",Yes,0,1
/m/02jx1,/location/location/contains,/m/013t85,"Is the following triple valid? Head: England, Relation: location location contains, Tail: Pontefract. Answer with 'Yes' or 'No'.",Yes,0,1
/m/02jx1,/location/location/contains,/m/0m0bj,"Is the following triple valid? Head: England, Relation: location location contains, Tail: Lancaster. Answer with 'Yes' or 'No'.",Yes,0,1
/m/02bfmn,/film/actor/film./film/performance/film,/m/04ghz4m,"Is the following triple valid? Head: Brad Dourif, Relation: film actor film. film performance film, Tail: Bad Lieutenant: Port of Call New Orleans. Answer with 'Yes' or 'No'.",Yes,0,1
/m/05zrvfd,/award/award_category/nominees./award/award_nomination/nominated_for,/m/04y9mm8,"Is the following triple valid? Head: MTV Movie Award for Best Scared-As-S**t Performance, Relation: award award category nominees. award award nomination nominated for, Tail: Piranha 3D. Answer with 'Yes' or 'No'.",Yes,0,1
/m/060bp,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,/m/04j53,"Is the following triple valid? Head: Prime minister-GB, Relation: government government office category officeholders. government government position held jurisdiction of office, Tail: Liechtenstein. Answer with 'Yes' or 'No'.",No,0,0
/m/07l450,/film/film/genre,/m/082gq,"Is the following triple valid? Head: The Last King of Scotland, Relation: film film genre, Tail: War film. Answer with 'Yes' or 'No'.",Yes,0,1
/m/07h1h5,/sports/pro_athlete/teams./sports/sports_team_roster/team,/m/029q3k,"Is the following triple valid? Head: Kasper Schmeichel, Relation: sports pro athlete teams. sports sports team roster team, Tail: Notts County F.C.. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0djb3vw,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/0jgd,"Is the following triple valid? Head: Restless, Relation: film film release date s. film film regional release date film release region, Tail: Argentina. Answer with 'Yes' or 'No'.",Yes,0,1
/m/031y2,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,/m/0dxmyh,"Is the following triple valid? Head: Florence, Relation: base popstra location vacationers. base popstra vacation choice vacationer, Tail: David Henrie. Answer with 'Yes' or 'No'.",No,0,0
/m/01d8l,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,/m/02lq67,"Is the following triple valid? Head: Bohemia, Relation: olympics olympic participating country medals won. olympics olympic medal honor medal, Tail: Bronze medal. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0ydpd,/location/location/time_zones,/m/02hcv8,"Is the following triple valid? Head: Asheville, Relation: location location time zones, Tail: Eastern Time Zone. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0738b8,/people/person/places_lived./people/place_lived/location,/m/02xry,"Is the following triple valid? Head: David Cross, Relation: people person places lived. people place lived location, Tail: Florida. Answer with 'Yes' or 'No'.",Yes,0,1
/m/070xg,/sports/sports_team/colors,/m/01g5v,"Is the following triple valid? Head: Seattle Seahawks, Relation: sports sports team colors, Tail: Blue. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0mwk9,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,/m/09nqf,"Is the following triple valid? Head: Lycoming County, Relation: location statistical region rent50 2. measurement unit dated money value currency, Tail: United States Dollar. Answer with 'Yes' or 'No'.",Yes,0,1
/m/09306z,/award/award_ceremony/awards_presented./award/award_honor/honored_for,/m/0sxkh,"Is the following triple valid? Head: 58th Academy Awards, Relation: award award ceremony awards presented. award award honor honored for, Tail: Kiss of the Spider Woman. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0kbws,/olympics/olympic_games/participating_countries,/m/027jk,"Is the following triple valid? Head: 2008 Summer Olympics, Relation: olympics olympic games participating countries, Tail: Djibouti. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0kbws,/olympics/olympic_games/participating_countries,/m/04vjh,"Is the following triple valid? Head: 2008 Summer Olympics, Relation: olympics olympic games participating countries, Tail: Mauritania. Answer with 'Yes' or 'No'.",Yes,0,1
/m/017j69,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/01mkq,"Is the following triple valid? Head: Northwestern University, Relation: education educational institution students graduates. education education major field of study, Tail: Computer Science. Answer with 'Yes' or 'No'.",Yes,0,1
/m/07z1m,/location/statistical_region/religions./location/religion_percentage/religion,/m/0631_,"Is the following triple valid? Head: Virginia, Relation: location statistical region religions. location religion percentage religion, Tail: Presbyterianism. Answer with 'Yes' or 'No'.",Yes,0,1
/m/03gqgt3,/military/military_conflict/combatants./military/military_combatant_group/combatants,/m/0d060g,"Is the following triple valid? Head: War on Terrorism, Relation: military military conflict combatants. military military combatant group combatants, Tail: Canada. Answer with 'Yes' or 'No'.",No,0,0
/m/01c9f2,/award/award_category/winners./award/award_honor/ceremony,/m/01bx35,"Is the following triple valid? Head: Grammy Award for Best Country Album, Relation: award award category winners. award award honor ceremony, Tail: 43rd Annual Grammy Awards. Answer with 'Yes' or 'No'.",Yes,0,1
/m/01c9f2,/award/award_category/winners./award/award_honor/ceremony,/m/01s695,"Is the following triple valid? Head: Grammy Award for Best Country Album, Relation: award award category winners. award award honor ceremony, Tail: 42nd Annual Grammy Awards. Answer with 'Yes' or 'No'.",Yes,0,1
/m/01lp8,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,/m/04n6k,"Is the following triple valid? Head: Christianity, Relation: user tsegaran random taxonomy subject entry. user tsegaran random taxonomy entry taxonomy, Tail: Library of Congress Classification. Answer with 'Yes' or 'No'.",Yes,0,1
/m/01xwqn,/influence/influence_node/influenced_by,/m/0121rx,"Is the following triple valid? Head: Artie Lange, Relation: influence influence node influenced by, Tail: Jackie Gleason. Answer with 'Yes' or 'No'.",Yes,0,1
/m/065ym0c,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/07ssc,"Is the following triple valid? Head: Detective Dee: Mystery of the Phantom Flame, Relation: film film release date s. film film regional release date film release region, Tail: United Kingdom. Answer with 'Yes' or 'No'.",Yes,0,1
/m/06kxk2,/people/person/place_of_birth,/m/01_d4,"Is the following triple valid? Head: Carl Foreman, Relation: people person place of birth, Tail: Chicago. Answer with 'Yes' or 'No'.",No,0,0
/m/08q1tg,/people/cause_of_death/people,/m/0lcx,"Is the following triple valid? Head: Traffic collision, Relation: people cause of death people, Tail: Albert Camus. Answer with 'Yes' or 'No'.",Yes,0,1
/m/037fqp,/education/educational_institution/school_type,/m/04399,"Is the following triple valid? Head: Marquette University, Relation: education educational institution school type, Tail: Society of Jesus-GB. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0xxc,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/01lj9,"Is the following triple valid? Head: Acadia University, Relation: education educational institution students graduates. education education major field of study, Tail: Chemistry. Answer with 'Yes' or 'No'.",Yes,0,1
/m/01l_pn,/film/film/prequel,/m/01y9jr,"Is the following triple valid? Head: Charlie's Angels: Full Throttle, Relation: film film prequel, Tail: Charlie's Angels. Answer with 'Yes' or 'No'.",Yes,0,1
/m/09sdmz,/award/award_category/nominees./award/award_nomination/nominated_for,/m/09gq0x5,"Is the following triple valid? Head: Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role, Relation: award award category nominees. award award nomination nominated for, Tail: The King's Speech. Answer with 'Yes' or 'No'.",Yes,0,1
/m/09sdmz,/award/award_category/nominees./award/award_nomination/nominated_for,/m/011yn5,"Is the following triple valid? Head: Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role, Relation: award award category nominees. award award nomination nominated for, Tail: As Good as It Gets. Answer with 'Yes' or 'No'.",Yes,0,1
/m/02ghq,/people/person/profession,/m/01d_h8,"Is the following triple valid? Head: Dean Koontz, Relation: people person profession, Tail: Film Producer-GB. Answer with 'Yes' or 'No'.",No,0,0
/m/016tt2,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,/m/0dtfn,"Is the following triple valid? Head: 20th Century Fox, Relation: film film distributor films distributed. film film film distributor relationship film, Tail: Star Wars Episode IV: A New Hope. Answer with 'Yes' or 'No'.",Yes,0,1
/m/016tt2,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,/m/04zl8,"Is the following triple valid? Head: 20th Century Fox, Relation: film film distributor films distributed. film film film distributor relationship film, Tail: Monty Python and the Holy Grail. Answer with 'Yes' or 'No'.",Yes,0,1
/m/016tt2,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01gb54,"Is the following triple valid? Head: 20th Century Fox, Relation: award award nominee award nominations. award award nomination award nominee, Tail: DreamWorks. Answer with 'Yes' or 'No'.",No,0,0
/m/07jrjb,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,/m/0ckd1,"Is the following triple valid? Head: Tom Werner, Relation: tv tv producer programs produced. tv tv producer term producer type, Tail: Executive Producer. Answer with 'Yes' or 'No'.",Yes,0,1
/m/09v71cj,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/015fr,"Is the following triple valid? Head: The Beaver, Relation: film film release date s. film film regional release date film release region, Tail: Brazil. Answer with 'Yes' or 'No'.",No,0,0
/m/01k5y0,/film/film/edited_by,/m/0dky9n,"Is the following triple valid? Head: Victor Victoria, Relation: film film edited by, Tail: Ralph E. Winters. Answer with 'Yes' or 'No'.",Yes,0,1
/m/06x76,/sports/sports_team/sport,/m/0jm_,"Is the following triple valid? Head: St. Louis Rams, Relation: sports sports team sport, Tail: American football. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0x67,/people/ethnicity/people,/m/0411q,"Is the following triple valid? Head: African American, Relation: people ethnicity people, Tail: John Lee Hooker. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0x67,/people/ethnicity/people,/m/030wkp,"Is the following triple valid? Head: African American, Relation: people ethnicity people, Tail: Kenan Thompson. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0gmgwnv,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,/m/09nqf,"Is the following triple valid? Head: Lincoln, Relation: film film estimated budget. measurement unit dated money value currency, Tail: United States Dollar. Answer with 'Yes' or 'No'.",No,0,0
/m/01wkmgb,/people/person/profession,/m/09jwl,"Is the following triple valid? Head: Bret Michaels, Relation: people person profession, Tail: Musician-GB. Answer with 'Yes' or 'No'.",Yes,0,1
/m/0154j,/organization/organization_member/member_of./organization/organization_membership/organization,/m/04k4l,"Is the following triple valid? Head: Belgium, Relation: organization organization member member of. organization organization membership organization, Tail: League of Nations. Answer with 'Yes' or 'No'.",Yes,0,1
/m/02j4sk,/people/deceased_person/place_of_death,/m/027l4q,"Is the following triple valid? Head: Peter Graves, Relation: people deceased person place of death, Tail: Pacific Palisades. Answer with 'Yes' or 'No'.",Yes,0,1
/m/017jv5,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,/m/0d1qmz,"Is the following triple valid? Head: United Artists, Relation: film film distributor films distributed. film film film distributor relationship film, Tail: You Only Live Twice. Answer with 'Yes' or 'No'.",Yes,0,1
/m/02x2gy0,/award/award_category/nominees./award/award_nomination/nominated_for,/m/04jplwp,"Is the following triple valid? Head: Satellite Award for Best Costume Design, Relation: award award category nominees. award award nomination nominated for, Tail: Nine. Answer with 'Yes' or 'No'.",Yes,0,1
/m/053rxgm,/film/film/executive_produced_by,/m/0g_rs_,"Is the following triple valid? Head: The Expendables, Relation: film film executive produced by, Tail: Boaz Davidson. Answer with 'Yes' or 'No'.",Yes,0,1
