,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
1,0.47540983606557374,0.90625,0.6236559139784946,32.0
2,0.0,0.0,0.0,5.0
3,1.0,0.3333333333333333,0.5,3.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,2.0
6,0.0,0.0,0.0,5.0
7,0.0,0.0,0.0,0.0
8,0.8333333333333334,0.18518518518518517,0.30303030303030304,27.0
9,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
10,0.4,0.36363636363636365,0.38095238095238093,11.0
11,0.6,1.0,0.75,9.0
12,0.4,1.0,0.5714285714285714,2.0
13,1.0,0.42857142857142855,0.6,7.0
14,0.0,0.0,0.0,1.0
15,0.8181818181818182,0.75,0.782608695652174,24.0
16,0.0,0.0,0.0,1.0
17,0.5,0.5,0.5,2.0
19,0.0,0.0,0.0,1.0
accuracy,0.564625850340136,0.564625850340136,0.564625850340136,0.564625850340136
macro avg,0.361740991249188,0.3322700082568504,0.3083068269050405,147.0
weighted avg,0.6119012135405577,0.564625850340136,0.5218010167218743,147.0
