head,tail,expected_relation,predicted_relation
6845599,3754979,member of domain usage,member of domain usage
789448,1062739,verb group,member meronym
8860123,5688486,member of domain region,derivationally related form
2233096,2233338,member meronym,hypernym
1371092,1352059,hypernym,member of domain region
2314321,8102555,hypernym,member of domain region
8621598,8620061,hypernym,member of domain region
3239726,3027250,has part,member meronym
12400489,12651821,hypernym,hypernym
779360,15274695,derivationally related form,hypernym
7359599,555447,derivationally related form,member of domain usage
10686313,9610660,hypernym,hypernym
13286099,2234988,derivationally related form,hypernym
1444326,1441510,hypernym,member meronym
5442131,5436080,has part,has part
8660339,8512259,hypernym,member meronym
7085786,7085375,hypernym,synset domain
6178812,10256080,derivationally related form,hypernym
1257145,7488875,derivationally related form,hypernym
2156546,7335716,derivationally related form,hypernym
2270342,2577061,also see,hypernym
1938426,1835496,hypernym,hypernym
8814333,8524735,instance hypernym,hypernym
770151,766234,hypernym,hypernym
4903813,1763829,derivationally related form,hypernym
1908287,8107499,hypernym,member of domain usage
7861421,1577513,derivationally related form,member of domain usage
1046587,1046059,hypernym,member of domain usage
951037,949619,hypernym,member of domain usage
13266892,13265904,hypernym,hypernym
15121625,28270,hypernym,hypernym
6754184,6753800,hypernym,member of domain region
1194418,2492198,hypernym,has part
1008719,8441203,synset domain topic of,member of domain region
474017,7357679,derivationally related form,hypernym
13627516,13627327,has part,member of domain usage
964569,1118449,derivationally related form,instance hypernym
4105068,4014297,hypernym,member of domain region
1322854,223983,derivationally related form,hypernym
1716882,7007945,derivationally related form,hypernym
8159924,7971582,hypernym,hypernym
6580646,6568978,hypernym,member meronym
968962,968211,hypernym,hypernym
1696849,1697837,member meronym,instance hypernym
6643408,6797169,hypernym,member meronym
6596978,6593296,hypernym,member of domain region
7572957,7566340,hypernym,member of domain region
1695976,4681797,derivationally related form,member of domain usage
7091902,6290637,hypernym,derivationally related form
2425228,2424695,hypernym,instance hypernym
6693198,860620,derivationally related form,hypernym
1057034,1253379,derivationally related form,member meronym
62582,89324,hypernym,hypernym
1455592,1455986,member meronym,member of domain region
7191777,7191279,hypernym,hypernym
2514988,2515214,member meronym,instance hypernym
8174398,8949093,member meronym,member of domain region
630634,624738,hypernym,member of domain usage
12406715,12405714,hypernym,hypernym
7466557,7470671,hypernym,hypernym
1733213,1714208,hypernym,member of domain usage
12224309,11534677,hypernym,hypernym
810729,811375,hypernym,hypernym
13726074,13725726,has part,hypernym
802946,1141841,derivationally related form,Hypernym
9989045,10129825,hypernym,hypernym
974367,9795124,derivationally related form,instance hypernym
2802544,3120491,hypernym,Member of domain usage
10128909,9606527,hypernym,instance hypernym
1687569,5844105,derivationally related form,member of domain usage
2001858,319939,derivationally related form,hypernym
5673908,1978003,derivationally related form,hypernym
7040148,7037465,hypernym,hypernym
13060190,12992868,hypernym,Hypernym
376400,376063,hypernym,hypernym
6083243,10806222,derivationally related form,hypernym
8900535,8903220,has part,member meronym
353992,493703,derivationally related form,derivationally related form
43902,471613,synset domain topic of,Derivationally related form
2641035,1062817,derivationally related form,hypernym.
1951276,1953810,hypernym,hypernym
5154517,4723816,hypernym,member of domain region
2490004,2488834,hypernym,hypernym
2040505,2021795,hypernym,instance hypernym
10826352,9989502,instance hypernym,member of domain usage
8541288,195342,derivationally related form,member of domain usage
740342,8441203,synset domain topic of,hypernym
1463963,5075602,derivationally related form,member of domain usage
1170243,14447908,derivationally related form,hypernym
7434102,7433973,hypernym,hypernym
2156546,2609764,hypernym,member of domain usage
8919949,9697070,member meronym,member of domain region
11020721,10624540,instance hypernym,member of domain region
8806897,8807554,has part,member of domain region
2208118,2311387,also see,derivationally related form
6389753,1745377,derivationally related form,Member meronym
11746776,12539306,member meronym,member of domain region
626428,10508710,derivationally related form,hypernym
118733,116687,hypernym,Derivationally related form
2081178,8617963,derivationally related form,member meronym
13902048,1742244,derivationally related form,hypernym
7334490,478830,derivationally related form,derivationally related form
3547054,4191595,hypernym,Hypernym
10564660,6403969,derivationally related form,instance hypernym
1511706,104249,derivationally related form,derivationally related form
12658846,7770180,has part,member of domain region
1410223,1236164,verb group,member of domain usage
1215851,3068181,derivationally related form,member meronym
14907122,15047313,hypernym,hypernym
8780881,10595361,member of domain region,instance hypernym
179567,173338,hypernym,hypernym
645493,4784142,derivationally related form,hypernym
5027529,5026843,hypernym,hypernym
2456493,1544692,hypernym,member meronym
12409016,11567411,hypernym,hypernym
459114,7891726,derivationally related form,hypernym
11338796,9798811,instance hypernym,instance hypernym
966869,2344568,derivationally related form,hypernym
216038,209943,hypernym,hypernym
4433585,2886599,hypernym,member of domain region
5090441,434077,derivationally related form,derivationally related form
15231765,15113229,instance hypernym,instance hypernym
4606014,3368141,hypernym,member of domain usage
11460281,11459538,hypernym,member of domain usage
8780018,8691669,instance hypernym,hypernym
2761834,1042725,derivationally related form,member of domain usage
425278,1803003,derivationally related form,Hypernym
9917593,15147097,derivationally related form,member of domain usage
4821802,103696,derivationally related form,member of domain region
9606009,7846,hypernym,instance hypernym
1143409,1143040,hypernym,hypernym
3171356,4341686,hypernym,member of domain usage
1977080,10019406,derivationally related form,member of domain usage
10109443,10341660,hypernym,member of domain usage
4229959,3101986,hypernym,member of domain topic of
13306870,2321046,derivationally related form,instance hypernym
6972311,6972090,hypernym,member of domain region
369864,5015463,derivationally related form,hypernym
1643092,1643255,member meronym,instance hypernym
4667406,1484083,derivationally related form,member of domain region
4962240,4961691,hypernym,member of domain region
6845599,3587715,member of domain usage,instance hypernym
4671394,724861,derivationally related form,hypernym
6268784,6268096,hypernym,instance hypernym
1466543,262249,derivationally related form,hypernym
2446645,2445715,hypernym,hypernym
4868748,4826235,hypernym,hypernym
11915658,11915214,hypernym,has part
15256714,5867413,hypernym,member meronym
7127252,7109847,hypernym,derivationally related form
1473990,8103777,hypernym,hypernym
1296462,379422,derivationally related form,member of domain region
560529,558630,hypernym,hypernym
11911591,12000609,member meronym,member of domain region
12169526,12192373,member meronym,member of domain region
538571,6084469,synset domain topic of,hypernym
5533948,5248181,hypernym,member of domain usage
1382273,1352059,hypernym,member of domain region
8860123,1252566,member of domain usage,hypernym
10299875,9624559,hypernym,hypernym
2795169,4531098,hypernym,hypernym
8156685,11259950,member meronym,Member of domain region
10717461,7846,hypernym,member of domain region
4364545,3739693,hypernym,hypernym
1336587,5645597,derivationally related form,Derivationally related form
738747,983824,hypernym,hypernym
5239808,5241827,has part,has part
6115701,10127689,derivationally related form,member of domain region
8172877,7951464,hypernym,member meronym
3273913,4070727,hypernym,member of domain usage
686890,1010118,derivationally related form,derivationally related form
2761685,378479,derivationally related form,hypernym
12983961,13024012,hypernym,hypernym
9876892,10307234,hypernym,hypernym
6742772,6742426,hypernym,member of domain region
45145,47945,hypernym,member of domain usage
12960211,12960378,member meronym,hypernym
5941210,701040,derivationally related form,hypernym
946755,6807198,derivationally related form,Derivationally related form
6780309,6780069,hypernym,synset domain topic of
6151693,10620758,derivationally related form,instance hypernym
1453969,1453433,hypernym,member of domain region
939818,1707925,derivationally related form,hypernym
12969670,12969131,hypernym,hypernym
11607071,8103777,hypernym,member of domain region
1740969,918383,derivationally related form,member of domain region
8766988,8769439,has part,member meronym
12724201,12725940,member meronym,hypernym
1589125,1589286,member meronym,hypernym
56688,53913,hypernym,hypernym
12761123,11567411,hypernym,hypernym
591115,5805475,derivationally related form,hypernym
13954253,43765,derivationally related form,member meronym
1346003,3848348,derivationally related form,Hypernym
2248744,1759182,hypernym,member of domain region
12242123,13112664,hypernym,member meronym
10682038,1916634,derivationally related form,hypernym
4956110,565592,derivationally related form,derivationally related form
824066,826509,hypernym,member of domain usage
1946277,1945845,hypernym,hypernym
4372171,3575958,hypernym,hypernym
154778,153263,hypernym,hypernym
14980579,14686352,hypernym,instance hypernym
7047011,7020895,synset domain topic of,hypernym
5301908,941990,derivationally related form,member of domain usage
11804604,11813309,member meronym,similar to
11805837,11573660,hypernym,instance hypernym
11612349,11608250,hypernym,hypernym
2621901,5008746,derivationally related form,member of domain region
7060167,7059255,hypernym,member of domain region
8969291,3024420,derivationally related form,member of domain region
6934132,6930934,hypernym,member of domain usage
10251779,7846,hypernym,instance hypernym
2625016,50693,derivationally related form,hypernym
4576211,2764779,has part,member of domain usage.
2426799,13944914,derivationally related form,hypernym
11704791,11705052,has part,hypernym
4294426,2688443,hypernym,member meronym
4657876,1076793,derivationally related form,hypernym
2150948,10576071,derivationally related form,hypernym
937656,933420,hypernym,member of domain
5133287,5129201,hypernym,member meronym
900070,836236,derivationally related form,hypernym
1400575,8103777,hypernym,instance hypernym
1239064,2677567,derivationally related form,hypernym
10214637,1632411,derivationally related form,hypernym
3386011,2811936,has part,member meronym
13951984,13951444,hypernym,hypernym
2496816,2539334,hypernym,hypernym
5614657,5614175,hypernym,hypernym
13800801,171127,derivationally related form,hypernym
12202936,13104059,hypernym,Hypernym
265386,260622,derivationally related form,hypernym
11529603,11536778,member meronym,member of domain region
2390470,10363913,derivationally related form,Derivationally related form
4907269,4616059,hypernym,hypernym
39021,37396,hypernym,has part
828901,962447,hypernym,member of domain usage
136152,134780,hypernym,derivationally related form
24649,3395745,derivationally related form,derivationally related form
9211735,9403734,instance hypernym,Member of domain region
9891470,2951358,derivationally related form,member meronym
4071393,3763968,hypernym,hypernym
343730,528667,synset domain topic of,member of domain region
12501745,12547658,member meronym,member of domain usage
9851165,2669081,derivationally related form,Hypernym
14498096,1269379,derivationally related form,member of domain region
3650173,1262113,derivationally related form,member meronym
2244956,2294436,also see,member of domain usage
2529515,2531820,member meronym,member of domain region
2621395,7092356,derivationally related form,hypernym
960734,13845239,derivationally related form,hypernym
1567133,1563128,hypernym,member of domain region
11199727,10650162,instance hypernym,instance hypernym
13999663,13998576,hypernym,member of domain usage
13481883,2762806,derivationally related form,derivationally related form
633864,785962,derivationally related form,hypernym
12892226,12904148,member meronym,hypernym
256961,256746,hypernym,member of domain usage
9165613,9483129,has part,member meronym
3673767,1270784,derivationally related form,member meronym
8740875,8745901,has part,member of domain region
2267826,2263378,hypernym,instance hypernym
2134589,2136623,member meronym,member of domain region
6350918,6350274,hypernym,member of domain usage
2400760,10760340,derivationally related form,hypernym
5537806,5220461,hypernym,member of domain region
5505679,5462315,hypernym,hypernym
7242324,7241205,hypernym,hypernym
212173,4683600,derivationally related form,has part
534480,342028,hypernym,derivationally related form
8279298,8284481,hypernym,hypernym
3579982,4170515,has part,member of domain usage
9460888,9403734,instance hypernym,member meronym
2726715,14365356,derivationally related form,hypernym
238867,239321,verb group,hypernym
6845599,3189995,member of domain usage,member of synset domain topic of
7409592,2685665,derivationally related form,Derivationally related form
13478525,229280,derivationally related form,member meronym
455599,407535,hypernym,member of domain usage
1271428,956485,instance hypernym,hypernym
1741864,916464,synset domain topic of,member meronym
2767308,1253060,derivationally related form,hypernym
347652,1898592,derivationally related form,member of domain usage
471711,223720,derivationally related form,member of domain usage
4826235,4846770,hypernym,hypernym
1353405,14705718,derivationally related form,member of domain region
493703,353992,derivationally related form,derivationally related form
2440705,2447591,member meronym,member of domain region
13148019,13148384,member meronym,has part
9190918,7347,hypernym,hypernym
12995724,13082077,member meronym,member of domain region
12464278,12464476,member meronym,hypernym
6115476,6000400,hypernym,member of domain region
9147046,4378842,has part,instance hypernym
2259829,761713,hypernym,hypernym
12195965,12196129,member meronym,Hypernym
12099342,13118707,hypernym,member of domain region
12112008,12102133,hypernym,instance hypernym
3631445,3106110,hypernym,member meronym
1012712,739662,derivationally related form,hypernym
12373361,11565385,hypernym,member of domain region
6883725,4416901,hypernym,Member of synset domain topic of
8199025,10305635,member meronym,member of domain region
588888,5805475,derivationally related form,hypernym
704388,5784242,derivationally related form,hypernym
10173895,7846,hypernym,member of domain usage
8920924,8926543,has part,member of domain region
1187620,8441203,synset domain topic of,hypernym
12219875,12220019,member meronym,hypernym
464513,1430111,also see,Hypernym
746084,1027508,hypernym,hypernym
6756831,835506,derivationally related form,synset domain topic of
15022389,15022171,hypernym,member meronym
5613962,5617107,hypernym,hypernym
13583724,2468793,derivationally related form,member meronym
11627028,11554175,hypernym,instance hypernym
2559752,2452885,hypernym,hypernym
9283623,9225146,hypernym,member of domain usage.
755500,838524,derivationally related form,hypernym
5060476,5060189,hypernym,similar to
1811736,7528807,derivationally related form,hypernym
1461328,378985,derivationally related form,hypernym
10216403,2593354,derivationally related form,hypernym
11551211,8220891,hypernym,member of domain region
396703,394813,hypernym,member of domain usage
1605119,1616970,member meronym,member of domain region
13463656,569318,derivationally related form,derivationally related form
2093390,7439284,derivationally related form,similar to
2674912,2707683,hypernym,hypernym
5513807,5457469,has part,member of domain usage
1959927,450335,synset domain topic of,hypernym
10387196,4091839,derivationally related form,member meronym
238720,13443787,derivationally related form,hypernym
940214,126264,hypernym,Synset domain topic of
1745722,4004767,derivationally related form,hypernym
10396462,7846,hypernym,hypernym.
8950035,8524735,instance hypernym,instance hypernym
1828405,7486922,derivationally related form,Derivationally related form
12192373,12193458,member meronym,Hypernym
5035961,559102,derivationally related form,Derivationally related form
2216547,1759182,hypernym,hypernym
12445848,11561228,hypernym,member of domain
69166,67999,hypernym,member of domain usage
2427726,10381214,derivationally related form,hypernym
13149296,13100677,hypernym,member of domain usage
1835103,9355850,derivationally related form,member of domain region
8344301,8342039,hypernym,hypernym
2525866,2527145,member meronym,member of domain region
2067941,2068408,member meronym,member of domain region
1028748,10344774,derivationally related form,hypernym
141806,920336,derivationally related form,instance hypernym
715074,352826,hypernym,instance hyponym
10351874,761713,derivationally related form,hypernym
1255057,691050,derivationally related form,hypernym
2671421,3081021,hypernym,member meronym
2121234,2125311,member meronym,instance hypernym
2217695,2217266,hypernym,hypernym
9101318,8695539,instance hypernym,member meronym
11689197,13135832,hypernym,has part
1998019,1998183,member meronym,hypernym
8775784,8574314,instance hypernym,member of domain region
1567678,1567133,hypernym,member meronym
1538469,510364,hypernym,similar to
147862,1284908,derivationally related form,derivationally related form
4182890,3895585,hypernym,member meronym
5835747,5833840,hypernym,hypernym
6873252,6873571,has part,hypernym
5509889,5528060,has part,has part
10227985,6161718,derivationally related form,hypernym
1004072,383606,hypernym,hypernym
10878672,10625860,instance hypernym,member of domain usage
1713635,1713764,member meronym,instance hypernym
2462580,10760340,derivationally related form,Hypernym.
7237758,842538,derivationally related form,member of domain usage
11014450,10453533,instance hypernym,hypernym
1107705,1105639,hypernym,hypernym
6890846,2141973,derivationally related form,hypernym
1596479,1507175,hypernym,hypernym
1830798,1762528,hypernym,Derivationally related form
3472232,99721,derivationally related form,derivationally related form
11629501,11641788,member meronym,member meronym
11357332,10453533,instance hypernym,hypernym
13205482,13210827,member meronym,member of domain region
608808,5833840,derivationally related form,hypernym
13907415,1280014,derivationally related form,hypernym
1637166,5786372,derivationally related form,member of domain usage
815686,6746005,derivationally related form,hypernym
6930934,6904171,hypernym,hypernym
332154,397576,hypernym,hypernym
824292,6713187,derivationally related form,hypernym
4762355,4760771,hypernym,member of domain usage
562935,2557638,derivationally related form,hypernym
6568978,1747717,derivationally related form,Hypernym
13107891,329495,derivationally related form,member of domain topic of
8312559,6226057,synset domain topic of,hypernym
6252138,1070102,derivationally related form,hypernym
872886,9774167,derivationally related form,Hypernym
1751021,1675963,hypernym,member of domain region
2512053,1140794,derivationally related form,member meronym
774056,9896826,derivationally related form,hypernym
10295819,7846,hypernym,hypernym
262249,1466543,derivationally related form,hypernym
462092,89027,derivationally related form,hypernym
1366718,7527352,derivationally related form,Hypernym
9373716,9411430,instance hypernym,Hypernym
4074329,3129123,hypernym,synonym
8951077,8524735,instance hypernym,hypernym
5536370,5303402,hypernym,member of domain usage
1705257,7258664,derivationally related form,hypernym
2149297,1864707,hypernym,member of domain region
11350705,10084635,instance hypernym,instance of
1921591,1921204,hypernym,hypernym
657016,1051801,derivationally related form,hypernym
3588414,946105,derivationally related form,member of domain usage
2447793,1139830,derivationally related form,derivationally related form
12957467,13167078,hypernym,Member meronym
6005518,6004685,hypernym,hypernym
1984695,1982650,hypernym,member of domain region
632236,5893356,derivationally related form,member of domain usage
1566386,1504437,hypernym,hypernym
2202928,818466,derivationally related form,hypernym
2645007,33615,derivationally related form,hypernym
2578604,1432517,hypernym,member of domain region
195617,195342,verb group,member of domain usage
1654863,1639765,hypernym,member of domain region
9044862,9105821,has part,member of domain region
12637729,12641007,member meronym,hypernym
4356056,3976268,has part,has part
9629752,1845720,derivationally related form,member of domain usage
1865197,643250,also see,hypernym
7083441,863579,derivationally related form,derivationally related form
12400261,12400924,member meronym,Similar to
10576223,7846,hypernym,hypernym
10034614,1170052,derivationally related form,synset domain topic of
1179707,2543181,derivationally related form,hypernym
1012712,657260,derivationally related form,hypernym
291873,8646188,derivationally related form,derivationally related form
8096301,8149781,hypernym,hypernym
5477686,5477305,has part,member of domain region
