Relation,Precision,Recall,F1 Score
also see,0.0,0.0,0.0
derivationally related form,0.9446576210562436,0.9300743745488195,0.9373092774075111
has part,0.9779831650502979,0.9359811563399063,0.9565212929777701
hypernym,0.5776710085910932,0.5851219737638974,0.5813726189651373
instance hypernym,0.5708412380660061,0.9468753668073162,0.7122746169435324
member meronym,0.5638087298303279,0.08318663149047818,0.1449820256632551
member of domain region,0.8695569319015732,0.9427035518992272,0.904654066685825
member of domain usage,0.0,0.0,0.0
similar to,0.6948210943654674,1.0,0.8199344422552222
synset domain topic of,0.0,0.0,0.0
verb group,0.8725889514115898,0.6302438098447616,0.731876226475578
