cluster_number,cluster_words
18,"roster, sports, position, football, team"
11,"music, artist, genre, contribution, track"
10,"government, administrative, base, held, county"
1,"film, by, performance, release, actor"
15,"award, honor, awards, for, winner"
2,"measurement, unit, currency, money, value"
8,"people, person, place, of, tenure"
14,"base, current, event, of, location"
17,"location, statistical, region, relationship, popstra"
0,"tv, program, producer, regular, personal"
5,"category, award, of, actor, producer"
19,"user, member, olympic, organization, sports"
9,"education, educational, institution, degree, field"
7,"country, location, capital, language, division"
12,"sports, team, draft, league, athlete"
6,"organization, location, place, region, member"
13,"olympics, olympic, medal, country, athlete"
3,"people, of, marriage, spouse, person"
4,"popstra, base, celebrity, dated, location"
16,"music, group, role, membership, performance"
