head,tail,expected_relation,predicted_relation
/m/08966,/m/05lf_,travel travel destination climate. travel travel destination monthly climate month,"(base, current, event, of, location)"
/m/01hww_,/m/01q99h,music performance role regular performances. music group membership group,"(music, artist, genre, contribution, track)"
/m/09v3jyg,/m/0f8l9c,film film release date s. film film regional release date film release region,"(popstra, base, celebrity, dated, location)"
/m/02jx1,/m/013t85,location location contains,"(government, administrative, base, held, county)"
/m/02jx1,/m/0m0bj,location location contains,"(government, administrative, base, held, county)"
/m/02bfmn,/m/04ghz4m,film actor film. film performance film,"film, by, performance, release, actor"
/m/05zrvfd,/m/04y9mm8,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/060bp,/m/04j53,government government office category officeholders. government government position held jurisdiction of office,"(country, location, capital, language, division)"
/m/07l450,/m/082gq,film film genre,"(film, by, performance, release, actor)"
/m/07h1h5,/m/029q3k,sports pro athlete teams. sports sports team roster team,"(sports, team, draft, league, athlete)"
/m/0djb3vw,/m/0jgd,film film release date s. film film regional release date film release region,"(music, artist, genre, contribution, track)"
/m/031y2,/m/0dxmyh,base popstra location vacationers. base popstra vacation choice vacationer,"(film, by, performance, release, actor)"
/m/01d8l,/m/02lq67,olympics olympic participating country medals won. olympics olympic medal honor medal,"(olympics, olympic, medal, country, athlete)"
/m/0ydpd,/m/02hcv8,location location time zones,"(location, statistical, region, relationship, popstra)"
/m/0738b8,/m/02xry,people person places lived. people place lived location,"(popstra, base, celebrity, dated, location)"
/m/070xg,/m/01g5v,sports sports team colors,"(sports, team, draft, league, athlete)"
/m/0mwk9,/m/09nqf,location statistical region rent50 2. measurement unit dated money value currency,"(measurement, unit, currency, money, value)"
/m/09306z,/m/0sxkh,award award ceremony awards presented. award award honor honored for,"award, honor, awards, for, winner"
/m/0kbws,/m/027jk,olympics olympic games participating countries,"(olympics, olympic, medal, country, athlete)"
/m/0kbws,/m/04vjh,olympics olympic games participating countries,"(olympics, olympic, medal, country, athlete)"
/m/017j69,/m/01mkq,education educational institution students graduates. education education major field of study,"education, educational, institution, degree, field"
/m/07z1m,/m/0631_,location statistical region religions. location religion percentage religion,"(organization, location, place, region, member)"
/m/03gqgt3,/m/0d060g,military military conflict combatants. military military combatant group combatants,"(base, current, event, of, location)"
/m/01c9f2,/m/01bx35,award award category winners. award award honor ceremony,"(award, honor, awards, for, winner)"
/m/01c9f2,/m/01s695,award award category winners. award award honor ceremony,"(award, honor, awards, for, winner)"
/m/01lp8,/m/04n6k,user tsegaran random taxonomy subject entry. user tsegaran random taxonomy entry taxonomy,"(category, award, of, actor, producer)"
/m/01xwqn,/m/0121rx,influence influence node influenced by,"(tv, program, producer, regular, personal)"
/m/065ym0c,/m/07ssc,film film release date s. film film regional release date film release region,"film, by, performance, release, actor"
/m/06kxk2,/m/01_d4,people person place of birth,"(film, by, performance, release, actor)"
/m/08q1tg,/m/0lcx,people cause of death people,"(award, honor, awards, for, winner)"
/m/037fqp,/m/04399,education educational institution school type,"(organization, location, place, region, member)"
/m/0xxc,/m/01lj9,education educational institution students graduates. education education major field of study,"(education, educational, institution, degree, field)"
/m/01l_pn,/m/01y9jr,film film prequel,"film, by, performance, release, actor"
/m/09sdmz,/m/09gq0x5,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/09sdmz,/m/011yn5,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/02ghq,/m/01d_h8,people person profession,"(film, by, performance, release, actor)"
/m/016tt2,/m/0dtfn,film film distributor films distributed. film film film distributor relationship film,"(film, by, performance, release, actor)"
/m/016tt2,/m/04zl8,film film distributor films distributed. film film film distributor relationship film,"(film, by, performance, release, actor)"
/m/016tt2,/m/01gb54,award award nominee award nominations. award award nomination award nominee,"(film, by, performance, release, actor)"
/m/07jrjb,/m/0ckd1,tv tv producer programs produced. tv tv producer term producer type,"(tv, program, producer, regular, personal)"
/m/09v71cj,/m/015fr,film film release date s. film film regional release date film release region,"film, by, performance, release, actor"
/m/01k5y0,/m/0dky9n,film film edited by,"(film, by, performance, release, actor)"
/m/06x76,/m/0jm_,sports sports team sport,"(sports, team, draft, league, athlete)"
/m/0x67,/m/0411q,people ethnicity people,"music, artist, genre, contribution, track"
/m/0x67,/m/030wkp,people ethnicity people,"(tv, program, producer, regular, personal)"
/m/0gmgwnv,/m/09nqf,film film estimated budget. measurement unit dated money value currency,"(measurement, unit, currency, money, value)"
/m/01wkmgb,/m/09jwl,people person profession,"music, artist, genre, contribution, track"
/m/0154j,/m/04k4l,organization organization member member of. organization organization membership organization,"organization, location, place, region, member"
/m/02j4sk,/m/027l4q,people deceased person place of death,"(popstra, base, celebrity, dated, location)"
/m/017jv5,/m/0d1qmz,film film distributor films distributed. film film film distributor relationship film,"film, by, performance, release, actor"
/m/02x2gy0,/m/04jplwp,award award category nominees. award award nomination nominated for,"award, honor, awards, for, winner"
/m/053rxgm,/m/0g_rs_,film film executive produced by,"(film, by, performance, release, actor)"
/m/011k11,/m/03h_yfh,music record label artist,"music, artist, genre, contribution, track"
/m/014zfs,/m/0bdw6t,award award nominee award nominations. award award nomination award,"(award, honor, awards, for, winner)"
/m/05typm,/m/0k2cb,film actor film. film performance film,"film, by, performance, release, actor"
/m/0cwy47,/m/06c62,film film featured film locations,"(people, person, place, of, tenure)"
/m/019vhk,/m/09rwjly,film film film festivals,"(award, honor, awards, for, winner)"
/m/06sy4c,/m/05zppz,people person gender,"(people, person, place, of, tenure)"
/m/0dr1c2,/m/04f62k,tv tv program regular cast. tv regular tv appearance actor,"(tv, program, producer, regular, personal)"
/m/07b_l,/m/013m43,location location contains,"(government, administrative, base, held, county)"
/m/0mm1q,/m/01d_h8,people person profession,"(tv, program, producer, regular, personal)"
/m/0prjs,/m/062zjtt,film director film,"(film, by, performance, release, actor)"
/m/01v40wd,/m/01c9dd,award award nominee award nominations. award award nomination award,"award, honor, awards, for, winner"
/m/0kvgnq,/m/05dppk,award award winning work awards won. award award honor award winner,"film, by, performance, release, actor"
/m/01ckbq,/m/013b2h,award award category winners. award award honor ceremony,"(award, honor, awards, for, winner)"
/m/0f_nbyh,/m/07yk1xz,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/0418wg,/m/02bjrlw,film film language,"(film, by, performance, release, actor)"
/m/02kth6,/m/03z19,organization non profit organization registered with. organization non profit registration registering agency,"(user, member, olympic, organization, sports)"
/m/026c1,/m/03s6l2,film actor film. film performance film,"film, by, performance, release, actor"
/m/03j90,/m/05z96,people person profession,"(award, honor, awards, for, winner)"
/m/0p9sw,/m/02zk08,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/01hydr,/m/0kz10,music genre parent genre,"music, artist, genre, contribution, track"
/m/01gtc0,/m/0vbk,government legislative session members. government government position held district represented,"(people, person, place, of, tenure)"
/m/0h63gl9,/m/07ssc,film film release date s. film film regional release date film release region,"(film, by, performance, release, actor)"
/m/033cnk,/m/0f4hc,food food nutrients. food nutrition fact nutrient,"(category, award, of, actor, producer)"
/m/033cnk,/m/02y_3rf,food food nutrients. food nutrition fact nutrient,"(measurement, unit, currency, money, value)"
/m/084m3,/m/034qrh,film actor film. film performance film,"(film, by, performance, release, actor)"
/m/014mlp,/m/01x5fb,education educational degree people with this degree. education education institution,"(education, educational, institution, degree, field)"
/m/0b7l4x,/m/03sb38,film film production companies,"(film, by, performance, release, actor)"
/m/016yvw,/m/01g63y,people person spouse s. people marriage type of union,"(people, of, marriage, spouse, person)"
/m/06ltr,/m/016ywb,film actor film. film performance film,"(film, by, performance, release, actor)"
/m/01dq5z,/m/03q95r,education educational institution students graduates. education education student,"(education, educational, institution, degree, field)"
/m/02vwckw,/m/0n1h,people person profession,"music, artist, genre, contribution, track"
/m/049t4g,/m/09sb52,award award nominee award nominations. award award nomination award,"(award, honor, awards, for, winner)"
/m/08k881,/m/01qncf,film actor film. film performance film,"(film, by, performance, release, actor)"
/m/01w58n3,/m/016z4k,people person profession,"music, artist, genre, contribution, track"
/m/0h_cssd,/m/0h0wc,award award ceremony awards presented. award award honor award winner,"award, honor, awards, for, winner"
