head	relation	tail	prompt	prediction
6845599	_member_of_domain_usage	3754979	Is the following triple valid? Head: trade name, a name given to a product or service, Relation: member of domain usage, Tail: metharbital, anticonvulsant drug (trade name Gemonil) used in the treatment of epilepsy. Answer with 'Yes' or 'No'.	Yes
789448	_verb_group	1062739	"Is the following triple valid? Head: telephone, get or try to get into communication (with someone) by telephone; ""I tried to call you all night""; ""Take two aspirin and call me in the morning"", Relation: verb group, Tail: call, send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message; ""Hawaii is calling!""; ""A transmitter in Samoa was heard calling"". Answer with 'Yes' or 'No'."	Yes
8860123	_member_of_domain_region	5688486	Is the following triple valid? Head: united kingdom of great britain and northern ireland, a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom, Relation: member of domain region, Tail: facer, (a dated Briticism) a serious difficulty with which one is suddenly faced. Answer with 'Yes' or 'No'.	No
2233096	_member_meronym	2233338	Is the following triple valid? Head: suborder blattodea, cockroaches; in some classifications considered an order, Relation: member meronym, Tail: roach, any of numerous chiefly nocturnal insects; some are domestic pests. Answer with 'Yes' or 'No'.	Yes
1371092	_hypernym	1352059	Is the following triple valid? Head: rickettsiaceae, microorganism resembling bacteria inhabiting arthropod tissues but capable of causing disease in vertebrates, Relation: hypernym, Tail: bacteria family, a family of bacteria. Answer with 'Yes' or 'No'.	Yes
2314321	_hypernym	8102555	Is the following triple valid? Head: phylum entoprocta, sometimes considered a subphylum of Bryozoa, Relation: hypernym, Tail: phylum, (biology) the major taxonomic group of animals and plants; contains classes. Answer with 'Yes' or 'No'.	Yes
8621598	_hypernym	8620061	"Is the following triple valid? Head: position, the particular portion of space occupied by something; ""he put the lamp back in its place"", Relation: hypernym, Tail: point, the precise location of something; a spatially limited location; ""she walked to a point where she could survey the whole street"". Answer with 'Yes' or 'No'."	Yes
3239726	_has_part	3027250	Is the following triple valid? Head: drill, a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows), Relation: has part, Tail: chuck, a holding device consisting of adjustable jaws that center a workpiece in a lathe or center a tool in a drill. Answer with 'Yes' or 'No'.	Yes
12400489	_hypernym	12651821	Is the following triple valid? Head: breadfruit tree, native to Pacific islands and having edible fruit with a texture like bread, Relation: hypernym, Tail: fruit tree, tree bearing edible fruit. Answer with 'Yes' or 'No'.	Yes
779360	_derivationally_related_form	15274695	Is the following triple valid? Head: take a breather, take a short break from one's activities in order to relax, Relation: derivationally related form, Tail: breathing time, a short respite. Answer with 'Yes' or 'No'.	Yes
7359599	_derivationally_related_form	555447	"Is the following triple valid? Head: transmutation, a qualitative change, Relation: derivationally related form, Tail: shift, move from one setting or context to another; ""shift the emphasis""; ""shift one's attention"". Answer with 'Yes' or 'No'."	Yes
10686313	_hypernym	9610660	Is the following triple valid? Head: sympathizer, commiserates with someone who has had misfortune, Relation: hypernym, Tail: communicator, a person who communicates with others. Answer with 'Yes' or 'No'.	Yes
13286099	_derivationally_related_form	2234988	"Is the following triple valid? Head: ration, a fixed portion that is allotted (especially in times of scarcity), Relation: derivationally related form, Tail: ration, restrict the consumption of a relatively scarce commodity, as during war; ""Bread was rationed during the siege of the city"". Answer with 'Yes' or 'No'."	Yes
1444326	_hypernym	1441510	"Is the following triple valid? Head: transfix, pierce with a sharp stake or point; ""impale a shrimp on a skewer"", Relation: hypernym, Tail: thrust, penetrate or cut through with a sharp instrument. Answer with 'Yes' or 'No'."	Yes
5442131	_has_part	5436080	"Is the following triple valid? Head: chromosome, a threadlike strand of DNA in the cell nucleus that carries the genes in a linear order; ""humans have 22 chromosome pairs plus two sex chromosomes"", Relation: has part, Tail: chromatin granule, the readily stainable substance of a cell nucleus consisting of DNA and RNA and various proteins; during mitotic division it condenses into chromosomes. Answer with 'Yes' or 'No'."	Yes
8660339	_hypernym	8512259	"Is the following triple valid? Head: surface, the extended two-dimensional outer boundary of a three-dimensional object; ""they skimmed over the surface of the water""; ""a brush small enough to clean every dental surface""; ""the sun has no distinct surface"", Relation: hypernym, Tail: bounds, the line or plane indicating the limit or extent of something. Answer with 'Yes' or 'No'."	No
7085786	_hypernym	7085375	"Is the following triple valid? Head: accentuation, the use or application of an accent; the relative prominence of syllables in a phrase or utterance, Relation: hypernym, Tail: stress, the relative prominence of a syllable or musical note (especially with regard to stress or pitch); ""he put the stress on the wrong syllable"". Answer with 'Yes' or 'No'."	Yes
6178812	_derivationally_related_form	10256080	Is the following triple valid? Head: lexicology, the branch of linguistics that studies the lexical component of language, Relation: derivationally related form, Tail: lexicologist, a compiler or writer of a dictionary; a student of the lexical component of language. Answer with 'Yes' or 'No'.	Yes
1257145	_derivationally_related_form	7488875	"Is the following triple valid? Head: precession, the act of preceding in time or order or rank (as in a ceremony)   sexually exciting or gratifying; ""sensual excesses""; ""a sultry look""; ""a sultry dance"", Relation: derivationally related form, Tail: sensualness, desire for sensual pleasures. Answer with 'Yes' or 'No'."	No
2156546	_derivationally_related_form	7335716	"Is the following triple valid? Head: vanish, become invisible or unnoticeable; ""The effect vanished when day broke"", Relation: derivationally related form, Tail: disappearance, the event of passing out of sight. Answer with 'Yes' or 'No'."	Yes
2270342	_also_see	2577061	"Is the following triple valid? Head: sophisticated, having or appealing to those having worldly knowledge and refinement and savoir-faire; ""sophisticated young socialites""; ""a sophisticated audience""; ""a sophisticated lifestyle""; ""a sophisticated book"", Relation: also see, Tail: worldly, characteristic of or devoted to the temporal world as opposed to the spiritual world; ""worldly goods and advancement""; ""temporal possessions of the church"". Answer with 'Yes' or 'No'."	Yes
1938426	_hypernym	1835496	"Is the following triple valid? Head: ski, move along on skis; ""We love to ski the Rockies""; ""My children don't ski"", Relation: hypernym, Tail: travel, change location; move, travel, or proceed, also metaphorically; ""How fast does your new car go?""; ""We travelled from Rome to Naples by bus""; ""The policemen went from door to door looking for the suspect""; ""The soldiers moved towards the city in an attempt to take it before night fell""; ""news travelled fast"". Answer with 'Yes' or 'No'."	Yes
8814333	_instance_hypernym	8524735	"Is the following triple valid? Head: brasov, a city in central Romania in the foothills of the Transylvanian Alps, Relation: instance hypernym, Tail: urban center, a large and densely populated urban area; may include several independent administrative districts; ""Ancient Troy was a great city"". Answer with 'Yes' or 'No'."	Yes
770151	_hypernym	766234	"Is the following triple valid? Head: mayhem, the willful and unlawful crippling or mutilation of another person, Relation: hypernym, Tail: offense, (criminal law) an act punishable by law; usually considered an evil act; ""a long record of crimes"". Answer with 'Yes' or 'No'."	Yes
4903813	_derivationally_related_form	1763829	"Is the following triple valid? Head: equanimity, steadiness of mind under stress; ""he accepted their problems with composure and she with equanimity"", Relation: derivationally related form, Tail: simmer down, become quiet or calm, especially after a state of agitation; ""After the fight both men need to cool off.""; ""It took a while after the baby was born for things to settle down again."". Answer with 'Yes' or 'No'."	No
1908287	_hypernym	8107499	"Is the following triple valid? Head: coelenterate family, a family of coelenterates, Relation: hypernym, Tail: family, (biology) a taxonomic group containing one or more genera; ""sharks belong to the fish family"". Answer with 'Yes' or 'No'."	Yes
7861421	_derivationally_related_form	1577513	"Is the following triple valid? Head: sops, piece of solid food for dipping in a liquid, Relation: derivationally related form, Tail: sop, dip into liquid; ""sop bread into the sauce"". Answer with 'Yes' or 'No'."	Yes
1046587	_hypernym	1046059	"Is the following triple valid? Head: thunder, to make or produce a loud noise; ""The river thundered below""; ""The engine roared as the driver pushed the car to full throttle"", Relation: hypernym, Tail: roar, make a loud noise, as of wind, water, or vehicles; ""The wind was howling in the trees""; ""The water roared down the chute"". Answer with 'Yes' or 'No'."	Yes
951037	_hypernym	949619	Is the following triple valid? Head: railroading, the activity of designing and constructing and operating railroads, Relation: hypernym, Tail: technology, the practical application of science to commerce or industry. Answer with 'Yes' or 'No'.	Yes
13266892	_hypernym	13265904	Is the following triple valid? Head: grant, any monetary aid, Relation: hypernym, Tail: financial aid, money to support a worthy person or cause. Answer with 'Yes' or 'No'.	Yes
15121625	_hypernym	28270	Is the following triple valid? Head: time to come, the time yet to come, Relation: hypernym, Tail: time, the continuum of experience in which events pass from the future through the present to the past. Answer with 'Yes' or 'No'.	Yes
6754184	_hypernym	6753800	"Is the following triple valid? Head: major premiss, the premise of a syllogism that contains the major term (which is the predicate of the conclusion), Relation: hypernym, Tail: premiss, a statement that is assumed to be true and from which a conclusion can be drawn; ""on the assumption that he has been injured we can infer that he will not to play"". Answer with 'Yes' or 'No'."	Yes
1194418	_hypernym	2492198	"Is the following triple valid? Head: host, be the host of or for; ""We hosted 4 couples last night"", Relation: hypernym, Tail: entertain, provide entertainment for. Answer with 'Yes' or 'No'."	Yes
1008719	_synset_domain_topic_of	8441203	"Is the following triple valid? Head: docket, place on the docket for legal action; ""Only 5 of the 120 cases docketed were tried"", Relation: synset domain topic of, Tail: law, the collection of rules imposed by authority; ""civilization presupposes respect for the law""; ""the great problem for jurisprudence to allow freedom while enforcing order"". Answer with 'Yes' or 'No'."	Yes
474017	_derivationally_related_form	7357679	"Is the following triple valid? Head: refine, improve or perfect by pruning or polishing; ""refine one's style of writing"", Relation: derivationally related form, Tail: refinement, the result of improving something; ""he described a refinement of this technique"". Answer with 'Yes' or 'No'."	Yes
13627516	_has_part	13627327	"Is the following triple valid? Head: kilobyte, a unit of information equal to 1024 bytes, Relation: has part, Tail: word, a word is a string of bits stored in computer memory; ""large computers use words up to 64 bits long"". Answer with 'Yes' or 'No'."	No
964569	_derivationally_related_form	1118449	"Is the following triple valid? Head: hostility, violent action that is hostile and usually unprovoked, Relation: derivationally related form, Tail: attack, take the initiative and go on the offensive; ""The Serbs attacked the village at night""; ""The visiting team started to attack"". Answer with 'Yes' or 'No'."	Yes
4105068	_hypernym	4014297	"Is the following triple valid? Head: roof, a protective covering that covers or forms the top of a building, Relation: hypernym, Tail: protective covering, a covering that is intend to protect from damage or injury; ""they had no protection from the fallout""; ""wax provided protection for the floors"". Answer with 'Yes' or 'No'."	Yes
1322854	_derivationally_related_form	223983	"Is the following triple valid? Head: slaughter, kill (animals) usually for food consumption; ""They slaughtered their only goat to survive the winter"", Relation: derivationally related form, Tail: slaughter, the savage and excessive killing of many people. Answer with 'Yes' or 'No'."	Yes
1716882	_derivationally_related_form	7007945	"Is the following triple valid? Head: play, be performed or presented for public viewing; ""What's playing in the local movie theater?""; ""`Cats' has been playing on Broadway for many years"", Relation: derivationally related form, Tail: play, a dramatic work intended for performance by actors on a stage; ""he wrote several plays but only one was produced on Broadway"". Answer with 'Yes' or 'No'."	Yes
