Relation,Precision,Recall,F1 Score
also see,0.0,0.0,0.0
derivationally related form,0.8573369869136157,0.9758038913932345,0.9127424716406539
has part,1.0,0.849115581615909,0.918401845788225
hypernym,0.596266029655405,0.8148985788739838,0.6886458705953338
instance hypernym,0.7510365471413486,0.8726966626596768,0.8073088414641946
member meronym,0.0,0.0,0.0
member of domain region,0.8039536805787634,1.0,0.8913240835771686
member of domain usage,0.0,0.0,0.0
similar to,0.0,0.0,0.0
synset domain topic of,0.0,0.0,0.0
verb group,0.0,0.0,0.0
