head,tail,expected_relation,predicted_relation,expected_cluster,predicted_cluster
/m/08966,/m/05lf_,travel travel destination climate. travel travel destination monthly climate month,"(location, statistical, region, relationship, popstra)",10,17
/m/01hww_,/m/01q99h,music performance role regular performances. music group membership group,"music, artist, genre, contribution, track",16,11
/m/09v3jyg,/m/0f8l9c,film film release date s. film film regional release date film release region,"film, by, performance, release, actor",1,1
/m/02jx1,/m/013t85,location location contains,"(location, statistical, region, relationship, popstra)",17,17
/m/02jx1,/m/0m0bj,location location contains,"The most possible relation is: (government, administrative, base, held, county)",17,10
/m/02bfmn,/m/04ghz4m,film actor film. film performance film,"film, actor",1,Unknown
/m/05zrvfd,/m/04y9mm8,award award category nominees. award award nomination nominated for,"(film, by, performance, release, actor)",15,1
/m/060bp,/m/04j53,government government office category officeholders. government government position held jurisdiction of office,"government, administrative, base, held, county",10,10
/m/07l450,/m/082gq,film film genre,"film, by, performance, release, actor",1,1
/m/07h1h5,/m/029q3k,sports pro athlete teams. sports sports team roster team,"(people, person, place, of, tenure)",12,8
/m/0djb3vw,/m/0jgd,film film release date s. film film regional release date film release region,"artist, genre, track",1,Unknown
/m/031y2,/m/0dxmyh,base popstra location vacationers. base popstra vacation choice vacationer,"film, by, performance, release, actor",4,1
/m/01d8l,/m/02lq67,olympics olympic participating country medals won. olympics olympic medal honor medal,"award, honor, awards, for, winner",13,15
/m/0ydpd,/m/02hcv8,location location time zones,"location, statistical, region, relationship, popstra",17,17
/m/0738b8,/m/02xry,people person places lived. people place lived location,"(person, place, of, tenure, people)",8,Unknown
/m/070xg,/m/01g5v,sports sports team colors,"team, color",12,Unknown
/m/0mwk9,/m/09nqf,location statistical region rent50 2. measurement unit dated money value currency,"(location, statistical, region, relationship, popstra)",2,17
/m/09306z,/m/0sxkh,award award ceremony awards presented. award award honor honored for,"award, for, winner",15,Unknown
/m/0kbws,/m/027jk,olympics olympic games participating countries,"(olympics, olympic, medal, country, athlete)",13,13
/m/0kbws,/m/04vjh,olympics olympic games participating countries,"(country, location, capital, language, division)",13,7
/m/017j69,/m/01mkq,education educational institution students graduates. education education major field of study,"(field, education, degree, institution)",9,Unknown
/m/07z1m,/m/0631_,location statistical region religions. location religion percentage religion,"(country, location, capital, language, division)",17,7
