head,tail,expected_relation,predicted_relation,expected_cluster,predicted_cluster
/m/08966,/m/05lf_,travel travel destination climate. travel travel destination monthly climate month,"country, location, capital, language, division",10,7
/m/01hww_,/m/01q99h,music performance role regular performances. music group membership group,"(music, artist, genre, contribution, track)",16,11
/m/09v3jyg,/m/0f8l9c,film film release date s. film film regional release date film release region,"people, of, marriage, spouse, person",1,3
/m/02jx1,/m/013t85,location location contains,"(government, administrative, base, held, county)",17,10
/m/02jx1,/m/0m0bj,location location contains,"(government, administrative, base, held, county)",17,10
/m/02bfmn,/m/04ghz4m,film actor film. film performance film,"(film, by, performance, release, actor)",1,1
/m/05zrvfd,/m/04y9mm8,award award category nominees. award award nomination nominated for,"(film, by, performance, release, actor)",15,1
/m/060bp,/m/04j53,government government office category officeholders. government government position held jurisdiction of office,"(government, administrative, base, held, county)",10,10
/m/07l450,/m/082gq,film film genre,"film, by, performance, release, actor",1,1
/m/07h1h5,/m/029q3k,sports pro athlete teams. sports sports team roster team,"(government, administrative, base, held, county)",12,10
/m/0djb3vw,/m/0jgd,film film release date s. film film regional release date film release region,"People, of, marriage, spouse, person",1,Unknown
/m/031y2,/m/0dxmyh,base popstra location vacationers. base popstra vacation choice vacationer,"(tv, program, producer, regular, personal)",4,0
/m/01d8l,/m/02lq67,olympics olympic participating country medals won. olympics olympic medal honor medal,"(olympics, olympic, medal, country, athlete)",13,13
/m/0ydpd,/m/02hcv8,location location time zones,"(category, award, of, actor, producer)",17,5
/m/0738b8,/m/02xry,people person places lived. people place lived location,"(category, award, of, actor, producer)",8,5
/m/070xg,/m/01g5v,sports sports team colors,"people, of, marriage",12,Unknown
/m/0mwk9,/m/09nqf,location statistical region rent50 2. measurement unit dated money value currency,"(measurement, unit, currency, money, value)",2,2
/m/09306z,/m/0sxkh,award award ceremony awards presented. award award honor honored for,"(film, by, performance, release, actor)",15,1
/m/0kbws,/m/027jk,olympics olympic games participating countries,"(olympics, olympic, medal, country, athlete)",13,13
/m/0kbws,/m/04vjh,olympics olympic games participating countries,"(user, member, olympic, organization, sports)",13,19
/m/017j69,/m/01mkq,education educational institution students graduates. education education major field of study,"(education, educational, institution, degree, field)",9,9
/m/07z1m,/m/0631_,location statistical region religions. location religion percentage religion,"people, of, marriage, spouse, person",17,3
/m/03gqgt3,/m/0d060g,military military conflict combatants. military military combatant group combatants,"(category, award, of, actor, producer)",10,5
/m/01c9f2,/m/01bx35,award award category winners. award award honor ceremony,"(music, artist, genre, contribution, track)",15,11
/m/01c9f2,/m/01s695,award award category winners. award award honor ceremony,"award, honor, awards, for, winner",15,15
/m/01lp8,/m/04n6k,user tsegaran random taxonomy subject entry. user tsegaran random taxonomy entry taxonomy,"people, of, marriage, spouse, person",19,3
/m/01xwqn,/m/0121rx,influence influence node influenced by,"(category, award, of, actor, producer)",10,5
/m/065ym0c,/m/07ssc,film film release date s. film film regional release date film release region,"(film, by, performance, release, actor)",1,1
/m/06kxk2,/m/01_d4,people person place of birth,"category, award, of, actor, producer",8,5
/m/08q1tg,/m/0lcx,people cause of death people,"(sports, team, draft, league, athlete)",3,12
/m/037fqp,/m/04399,education educational institution school type,"(user, member, olympic, organization, sports)",9,19
/m/0xxc,/m/01lj9,education educational institution students graduates. education education major field of study,"(education, educational, institution, degree, field)",9,9
/m/01l_pn,/m/01y9jr,film film prequel,"(tv, program, producer, regular, personal)",1,0
/m/09sdmz,/m/09gq0x5,award award category nominees. award award nomination nominated for,"(film, by, performance, release, actor)",15,1
/m/09sdmz,/m/011yn5,award award category nominees. award award nomination nominated for,"category, award, of, actor, producer",15,5
/m/02ghq,/m/01d_h8,people person profession,"(film, by, performance, release, actor)",8,1
/m/016tt2,/m/0dtfn,film film distributor films distributed. film film film distributor relationship film,"(film, by, performance, release, actor)",1,1
/m/016tt2,/m/04zl8,film film distributor films distributed. film film film distributor relationship film,"(film, by, performance, release, actor)",1,1
/m/016tt2,/m/01gb54,award award nominee award nominations. award award nomination award nominee,"film, by, performance, release, actor",15,1
/m/07jrjb,/m/0ckd1,tv tv producer programs produced. tv tv producer term producer type,"(category, award, of, actor, producer)",0,5
/m/09v71cj,/m/015fr,film film release date s. film film regional release date film release region,"(country, location, capital, language, division)",1,7
/m/01k5y0,/m/0dky9n,film film edited by,"film, by, performance, release, actor",1,1
/m/06x76,/m/0jm_,sports sports team sport,"(sports, team, draft, league, athlete)",12,12
/m/0x67,/m/0411q,people ethnicity people,"(music, artist, genre, contribution, track)",8,11
/m/0x67,/m/030wkp,people ethnicity people,"(tv, program, producer, regular, personal)",8,0
/m/0gmgwnv,/m/09nqf,film film estimated budget. measurement unit dated money value currency,"(country, location, capital, language, division)",2,7
/m/01wkmgb,/m/09jwl,people person profession,"(music, artist, genre, contribution, track)",8,11
/m/0154j,/m/04k4l,organization organization member member of. organization organization membership organization,"(government, administrative, base, held, county)",6,10
/m/02j4sk,/m/027l4q,people deceased person place of death,"(film, by, performance, release, actor)",8,1
/m/017jv5,/m/0d1qmz,film film distributor films distributed. film film film distributor relationship film,"(film, by, performance, release, actor)",1,1
/m/02x2gy0,/m/04jplwp,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)",15,15
/m/053rxgm,/m/0g_rs_,film film executive produced by,"(film, by, performance, release, actor)",1,1
/m/011k11,/m/03h_yfh,music record label artist,"(music, artist, genre, contribution, track)",11,11
/m/014zfs,/m/0bdw6t,award award nominee award nominations. award award nomination award,"(category, award, of, actor, producer)",15,5
/m/05typm,/m/0k2cb,film actor film. film performance film,"(film, by, performance, release, actor)",1,1
/m/0cwy47,/m/06c62,film film featured film locations,"(country, location, capital, language, division),",1,7
/m/019vhk,/m/09rwjly,film film film festivals,"(film, by, performance, release, actor)",1,1
/m/06sy4c,/m/05zppz,people person gender,"(user, member, olympic, organization, sports)",8,19
/m/0dr1c2,/m/04f62k,tv tv program regular cast. tv regular tv appearance actor,"(tv, program, producer, regular, personal)",0,0
/m/07b_l,/m/013m43,location location contains,"(government, administrative, base, held, county)",17,10
/m/0mm1q,/m/01d_h8,people person profession,"(category, award, of, actor, producer)",8,5
/m/0prjs,/m/062zjtt,film director film,"(category, award, of, actor, producer)",1,5
/m/01v40wd,/m/01c9dd,award award nominee award nominations. award award nomination award,"award, honor, awards, for, winner",15,15
/m/0kvgnq,/m/05dppk,award award winning work awards won. award award honor award winner,"film, by, performance, release, actor",15,1
/m/01ckbq,/m/013b2h,award award category winners. award award honor ceremony,"(music, artist, genre, contribution, track)",15,11
/m/0f_nbyh,/m/07yk1xz,award award category nominees. award award nomination nominated for,"(category, award, of, actor, producer)",15,5
/m/0418wg,/m/02bjrlw,film film language,"film, by, performance, release, actor",1,1
/m/02kth6,/m/03z19,organization non profit organization registered with. organization non profit registration registering agency,"organization, location, place, region, member",6,6
