head	relation	tail	prompt	prediction
/m/08966	/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month	/m/05lf_	Is the following triple valid? Head: Zürich, Relation: travel travel destination climate. travel travel destination monthly climate month, Tail: October. Answer with 'Yes' or 'No'.	Yes
/m/01hww_	/music/performance_role/regular_performances./music/group_membership/group	/m/01q99h	Is the following triple valid? Head: Autoharp, Relation: music performance role regular performances. music group membership group, Tail: Heart. Answer with 'Yes' or 'No'.	No
/m/09v3jyg	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0f8l9c	Is the following triple valid? Head: Winnie the Pooh, Relation: film film release date s. film film regional release date film release region, Tail: France. Answer with 'Yes' or 'No'.	No
/m/02jx1	/location/location/contains	/m/013t85	Is the following triple valid? Head: England, Relation: location location contains, Tail: Pontefract. Answer with 'Yes' or 'No'.	Yes
/m/02jx1	/location/location/contains	/m/0m0bj	Is the following triple valid? Head: England, Relation: location location contains, Tail: Lancaster. Answer with 'Yes' or 'No'.	Yes
/m/02bfmn	/film/actor/film./film/performance/film	/m/04ghz4m	Is the following triple valid? Head: Brad Dourif, Relation: film actor film. film performance film, Tail: Bad Lieutenant: Port of Call New Orleans. Answer with 'Yes' or 'No'.	Yes
/m/05zrvfd	/award/award_category/nominees./award/award_nomination/nominated_for	/m/04y9mm8	Is the following triple valid? Head: MTV Movie Award for Best Scared-As-S**t Performance, Relation: award award category nominees. award award nomination nominated for, Tail: Piranha 3D. Answer with 'Yes' or 'No'.	No
/m/060bp	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office	/m/04j53	Is the following triple valid? Head: Prime minister-GB, Relation: government government office category officeholders. government government position held jurisdiction of office, Tail: Liechtenstein. Answer with 'Yes' or 'No'.	No
/m/07l450	/film/film/genre	/m/082gq	Is the following triple valid? Head: The Last King of Scotland, Relation: film film genre, Tail: War film. Answer with 'Yes' or 'No'.	Yes
/m/07h1h5	/sports/pro_athlete/teams./sports/sports_team_roster/team	/m/029q3k	Is the following triple valid? Head: Kasper Schmeichel, Relation: sports pro athlete teams. sports sports team roster team, Tail: Notts County F.C.. Answer with 'Yes' or 'No'.	Yes
/m/0djb3vw	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0jgd	Is the following triple valid? Head: Restless, Relation: film film release date s. film film regional release date film release region, Tail: Argentina. Answer with 'Yes' or 'No'.	Yes
/m/031y2	/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	/m/0dxmyh	Is the following triple valid? Head: Florence, Relation: base popstra location vacationers. base popstra vacation choice vacationer, Tail: David Henrie. Answer with 'Yes' or 'No'.	No
/m/01d8l	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal	/m/02lq67	Is the following triple valid? Head: Bohemia, Relation: olympics olympic participating country medals won. olympics olympic medal honor medal, Tail: Bronze medal. Answer with 'Yes' or 'No'.	Yes
/m/0ydpd	/location/location/time_zones	/m/02hcv8	Is the following triple valid? Head: Asheville, Relation: location location time zones, Tail: Eastern Time Zone. Answer with 'Yes' or 'No'.	Yes
/m/0738b8	/people/person/places_lived./people/place_lived/location	/m/02xry	Is the following triple valid? Head: David Cross, Relation: people person places lived. people place lived location, Tail: Florida. Answer with 'Yes' or 'No'.	No
/m/070xg	/sports/sports_team/colors	/m/01g5v	Is the following triple valid? Head: Seattle Seahawks, Relation: sports sports team colors, Tail: Blue. Answer with 'Yes' or 'No'.	Yes
/m/0mwk9	/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	/m/09nqf	Is the following triple valid? Head: Lycoming County, Relation: location statistical region rent50 2. measurement unit dated money value currency, Tail: United States Dollar. Answer with 'Yes' or 'No'.	Yes
/m/09306z	/award/award_ceremony/awards_presented./award/award_honor/honored_for	/m/0sxkh	Is the following triple valid? Head: 58th Academy Awards, Relation: award award ceremony awards presented. award award honor honored for, Tail: Kiss of the Spider Woman. Answer with 'Yes' or 'No'.	Yes
/m/0kbws	/olympics/olympic_games/participating_countries	/m/027jk	Is the following triple valid? Head: 2008 Summer Olympics, Relation: olympics olympic games participating countries, Tail: Djibouti. Answer with 'Yes' or 'No'.	Yes
/m/0kbws	/olympics/olympic_games/participating_countries	/m/04vjh	Is the following triple valid? Head: 2008 Summer Olympics, Relation: olympics olympic games participating countries, Tail: Mauritania. Answer with 'Yes' or 'No'.	Yes
/m/017j69	/education/educational_institution/students_graduates./education/education/major_field_of_study	/m/01mkq	Is the following triple valid? Head: Northwestern University, Relation: education educational institution students graduates. education education major field of study, Tail: Computer Science. Answer with 'Yes' or 'No'.	Yes
/m/07z1m	/location/statistical_region/religions./location/religion_percentage/religion	/m/0631_	Is the following triple valid? Head: Virginia, Relation: location statistical region religions. location religion percentage religion, Tail: Presbyterianism. Answer with 'Yes' or 'No'.	No
