head,relation,tail,prompt,prediction,is_negative,score
head,relation,tail,prompt,prediction,0,0
6845599,_member_of_domain_usage,3754979,"Is the following triple valid? Head: trade name, a name given to a product or service, Relation: member of domain usage, Tail: metharbital, anticonvulsant drug (trade name Gemonil) used in the treatment of epilepsy. Answer with 'Yes' or 'No'.",No,0,0
789448,_verb_group,1062739,"Is the following triple valid? Head: telephone, get or try to get into communication (with someone) by telephone; ""I tried to call you all night""; ""Take two aspirin and call me in the morning"", Relation: verb group, Tail: call, send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message; ""Hawaii is calling!""; ""A transmitter in Samoa was heard calling"". Answer with 'Yes' or 'No'.",No,0,0
8860123,_member_of_domain_region,5688486,"Is the following triple valid? Head: united kingdom of great britain and northern ireland, a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom, Relation: member of domain region, Tail: facer, (a dated Briticism) a serious difficulty with which one is suddenly faced. Answer with 'Yes' or 'No'.",No,0,0
2233096,_member_meronym,2233338,"Is the following triple valid? Head: suborder blattodea, cockroaches; in some classifications considered an order, Relation: member meronym, Tail: roach, any of numerous chiefly nocturnal insects; some are domestic pests. Answer with 'Yes' or 'No'.",No,0,0
1371092,_hypernym,1352059,"Is the following triple valid? Head: rickettsiaceae, microorganism resembling bacteria inhabiting arthropod tissues but capable of causing disease in vertebrates, Relation: hypernym, Tail: bacteria family, a family of bacteria. Answer with 'Yes' or 'No'.",Yes,0,1
2314321,_hypernym,8102555,"Is the following triple valid? Head: phylum entoprocta, sometimes considered a subphylum of Bryozoa, Relation: hypernym, Tail: phylum, (biology) the major taxonomic group of animals and plants; contains classes. Answer with 'Yes' or 'No'.",No,0,0
8621598,_hypernym,8620061,"Is the following triple valid? Head: position, the particular portion of space occupied by something; ""he put the lamp back in its place"", Relation: hypernym, Tail: point, the precise location of something; a spatially limited location; ""she walked to a point where she could survey the whole street"". Answer with 'Yes' or 'No'.",No,0,0
3239726,_has_part,3027250,"Is the following triple valid? Head: drill, a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows), Relation: has part, Tail: chuck, a holding device consisting of adjustable jaws that center a workpiece in a lathe or center a tool in a drill. Answer with 'Yes' or 'No'.",Yes,0,1
12400489,_hypernym,12651821,"Is the following triple valid? Head: breadfruit tree, native to Pacific islands and having edible fruit with a texture like bread, Relation: hypernym, Tail: fruit tree, tree bearing edible fruit. Answer with 'Yes' or 'No'.",Yes,0,1
