relation,text,cluster,cluster_words
/soccer/football_team/current_roster./soccer/football_roster_position/position,soccer football team current roster. soccer football roster position position,18,"roster, sports, position, football, team"
/music/artist/origin,music artist origin,11,"music, artist, genre, contribution, track"
/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,ice hockey hockey team current roster. sports sports team roster position,18,"roster, sports, position, football, team"
/food/food/nutrients./food/nutrition_fact/nutrient,food food nutrients. food nutrition fact nutrient,10,"government, administrative, base, held, county"
/film/actor/film./film/performance/film,film actor film. film performance film,1,"film, by, performance, release, actor"
/award/award_nominee/award_nominations./award/award_nomination/nominated_for,award award nominee award nominations. award award nomination nominated for,15,"award, honor, awards, for, winner"
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,government political party politicians in this party. government political party tenure politician,10,"government, administrative, base, held, county"
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,base schemastaging person extra net worth. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/people/deceased_person/place_of_death,people deceased person place of death,8,"people, person, place, of, tenure"
/people/person/profession,people person profession,8,"people, person, place, of, tenure"
/location/administrative_division/first_level_division_of,location administrative division first level division of,10,"government, administrative, base, held, county"
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,base marchmadness ncaa basketball tournament seeds. base marchmadness ncaa tournament seed team,14,"base, current, event, of, location"
/education/university/international_tuition./measurement_unit/dated_money_value/currency,education university international tuition. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/location/us_county/county_seat,location us county county seat,10,"government, administrative, base, held, county"
/location/location/partially_contains,location location partially contains,17,"location, statistical, region, relationship, popstra"
/tv/tv_program/program_creator,tv tv program program creator,0,"tv, program, producer, regular, personal"
/film/film/music,film film music,1,"film, by, performance, release, actor"
/tv/tv_program/languages,tv tv program languages,0,"tv, program, producer, regular, personal"
/common/topic/webpage./common/webpage/category,common topic webpage. common webpage category,5,"category, award, of, actor, producer"
/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,user tsegaran random taxonomy subject entry. user tsegaran random taxonomy entry taxonomy,19,"user, member, olympic, organization, sports"
/education/field_of_study/students_majoring./education/education/major_field_of_study,education field of study students majoring. education education major field of study,9,"education, educational, institution, degree, field"
/business/business_operation/assets./measurement_unit/dated_money_value/currency,business business operation assets. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/film/film_set_designer/film_sets_designed,film film set designer film sets designed,1,"film, by, performance, release, actor"
/dataworld/gardening_hint/split_to,dataworld gardening hint split to,10,"government, administrative, base, held, county"
/people/person/languages,people person languages,8,"people, person, place, of, tenure"
